"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 19:36:34 ALMT 2024","Thu Mar 07 19:36:46 ALMT 2024","11899","","tests.RegistrationTests","","tests.RegistrationTests","testRegistrationWithShortPassword","testRegistrationWithShortPassword",""
"passed","Thu Mar 07 19:35:37 ALMT 2024","Thu Mar 07 19:35:50 ALMT 2024","13210","","tests.LoginTests","","tests.LoginTests","testLoginFromMainPage","testLoginFromMainPage",""
"passed","Thu Mar 07 19:36:03 ALMT 2024","Thu Mar 07 19:36:20 ALMT 2024","16757","","tests.LoginTests","","tests.LoginTests","testLogout","testLogout",""
"passed","Thu Mar 07 19:34:57 ALMT 2024","Thu Mar 07 19:35:08 ALMT 2024","10935","","tests.MainPageTests","","tests.MainPageTests","testFillingTabOpens","testFillingTabOpens",""
"passed","Thu Mar 07 19:35:17 ALMT 2024","Thu Mar 07 19:35:26 ALMT 2024","9000","","tests.MainPageTests","","tests.MainPageTests","testSauceTabOpens","testSauceTabOpens",""
"passed","Thu Mar 07 19:34:40 ALMT 2024","Thu Mar 07 19:34:57 ALMT 2024","16947","","tests.ProfileTests","","tests.ProfileTests","goToProfileFromMainPage","goToProfileFromMainPage",""
"passed","Thu Mar 07 19:35:08 ALMT 2024","Thu Mar 07 19:35:17 ALMT 2024","9823","","tests.MainPageTests","","tests.MainPageTests","testBunTabOpens","testBunTabOpens",""
"passed","Thu Mar 07 19:35:50 ALMT 2024","Thu Mar 07 19:36:03 ALMT 2024","13340","","tests.LoginTests","","tests.LoginTests","testLoginAfterPasswordRecovery","testLoginAfterPasswordRecovery",""
"passed","Thu Mar 07 19:35:27 ALMT 2024","Thu Mar 07 19:35:37 ALMT 2024","10178","","tests.LoginTests","","tests.LoginTests","testLoginFromRegistrationPage","testLoginFromRegistrationPage",""
"passed","Thu Mar 07 19:34:00 ALMT 2024","Thu Mar 07 19:34:22 ALMT 2024","21916","","tests.ProfileTests","","tests.ProfileTests","goToMainPageByButtonFromProfile","goToMainPageByButtonFromProfile",""
"passed","Thu Mar 07 19:34:22 ALMT 2024","Thu Mar 07 19:34:40 ALMT 2024","17618","","tests.ProfileTests","","tests.ProfileTests","goToMainPageByLogoFromProfile","goToMainPageByLogoFromProfile",""
"passed","Thu Mar 07 19:36:20 ALMT 2024","Thu Mar 07 19:36:34 ALMT 2024","14005","","tests.RegistrationTests","","tests.RegistrationTests","testSuccessfulRegistration","testSuccessfulRegistration",""
